SITE ID,I or C,DATE,Genotype,Tile number,DONOR SITE,Bush length,Bush weight,June tip length tot (cm),July tip length tot (cm),Change tip length tot (cm),Change tip length tot (cm)/day,"Tip ""base"" width (cm)",Tot tip width (cm),Tip weight (g),Apikal tips (amount),Bladders (amount),Dry weight,Comments
OK,Impact,29.07.2025,A,1,Immers 1,47.2,270.2,7.4,12.7,5.3,0.115217391,2,11.4,5.3,8,6,,
OK,Impact,29.07.2025,A,2,Immers 1,47.2,270.2,8.4,11.5,3.1,0.067391304,1.6,4.1,2.8,5,4,,
OK,Impact,29.07.2025,A,3,Immers 1,47.2,270.2,8.1,10.4,2.3,0.05,1.6,3.5,2.4,4,3,,
SH,Impact,29.07.2025,A,2,Immers 1,47.2,270.2,10.1,15.4,5.3,0.117777778,1.7,11,4.8,7,5,,
SH,Impact,29.07.2025,A,3,Immers 1,47.2,270.2,8.5,13.3,4.8,0.106666667,2.1,9.8,4.2,6,4,,
FL,Impact,29.07.2025,A,1,Immers 1,47.2,270.2,8,14.5,6.5,0.144444444,1.4,9.3,4.5,9,5,,
FL,Impact,29.07.2025,A,2,Immers 1,47.2,270.2,8.9,12.9,4,0.088888889,1.7,7.9,3.5,6,6,,
FL,Impact,29.07.2025,A,3,Immers 1,47.2,270.2,9.5,13.3,3.8,0.084444444,2.1,11.7,6.1,12,6,,
KK,Impact,29.07.2025,A,1,Immers 1,47.2,270.2,9,11.5,2.5,0.055555556,2,12.6,6.9,28,7,,
KK,Impact,29.07.2025,A,2,Immers 1,47.2,270.2,8.2,11.8,3.6,0.08,2,7.3,3.7,7,5,,
SK,Control,29.07.2025,A,1,Immers 1,47.2,270.2,9.1,12,2.9,0.063043478,1.6,10.3,4.5,13,4,,
SK,Control,29.07.2025,A,2,Immers 1,47.2,270.2,9,12,3,0.065217391,2.1,10,6.5,16,10,,
SK,Control,29.07.2025,A,3,Immers 1,47.2,270.2,8.7,12,3.3,0.07173913,1.8,13.2,5.8,15,7,,
AL,Control,29.07.2025,A,1,Immers 1,47.2,270.2,7.7,11.2,3.5,0.076086957,1.6,11.3,3.7,14,4,,
AL,Control,29.07.2025,A,2,Immers 1,47.2,270.2,8.2,11.6,3.4,0.073913043,2,10.4,4,11,4,,
AL,Control,29.07.2025,A,3,Immers 1,47.2,270.2,8.6,12.5,3.9,0.084782609,1.8,13,7.3,27,10,,
VL,Control,29.07.2025,A,1,Immers 1,47.2,270.2,8.2,10.6,2.4,0.052173913,2.4,14,6.6,16,11,,
VL,Control,29.07.2025,A,2,Immers 1,47.2,270.2,9.5,12,2.5,0.054347826,2.3,9.8,5.4,14,4,,
VL,Control,29.07.2025,A,3,Immers 1,47.2,270.2,8.1,11,2.9,0.063043478,1.8,8,4,9,4,,
JO,Control,29.07.2025,A,1,Immers 1,47.2,270.2,10.8,15.1,4.3,0.093478261,1.8,11.5,6.3,20,4,,
JO,Control,29.07.2025,A,2,Immers 1,47.2,270.2,8.2,11.9,3.7,0.080434783,2,6.5,3.7,9,4,,
JO,Control,29.07.2025,A,3,Immers 1,47.2,270.2,8.2,12.2,4,0.086956522,1.6,10,3.9,11,5,,
OK,Impact,29.7.2025,B,1,Immers 2,36.2,177.5,8.3,12,3.7,0.080434783,1.6,12.5,5.1,14,5,,
OK,Impact,29.7.2025,B,2,Immers 2,36.2,177.5,8.5,12,3.5,0.076086957,1.2,9.3,4.5,11,4,,
OK,Impact,29.7.2025,B,3,Immers 2,36.2,177.5,8,10.9,2.9,0.063043478,1.4,11.1,3.8,11,5,,
SH,Impact,29.7.2025,B,1,Immers 2,36.2,177.5,9.1,14.2,5.1,0.113333333,1.3,8.9,4.1,7,5,,
SH,Impact,29.7.2025,B,2,Immers 2,36.2,177.5,8.2,13.6,5.4,0.12,1.5,10.6,4.3,13,4,,
SH,Impact,29.7.2025,B,3,Immers 2,36.2,177.5,8,12.3,4.3,0.095555556,1.4,8.8,3.6,8,5,,
FL,Impact,29.7.2025,B,1,Immers 2,36.2,177.5,9,12.9,3.9,0.086666667,1.5,9,4.9,16,4,,
FL,Impact,29.7.2025,B,2,Immers 2,36.2,177.5,8.9,13.2,4.3,0.095555556,1.7,9.5,4,8,3,,
FL,Impact,29.7.2025,B,3,Immers 2,36.2,177.5,9.2,12.6,3.4,0.075555556,2.1,12.3,4.5,14,4,,
KK,Impact,29.7.2025,B,1,Immers 2,36.2,177.5,8.8,12.9,4.1,0.091111111,1.6,11.7,5.2,16,2,,
KK,Impact,29.7.2025,B,2,Immers 2,36.2,177.5,8.1,11.2,3.1,0.068888889,1.2,8.2,2.8,8,2,,
SK,Control,29.7.2025,B,1,Immers 2,36.2,177.5,7.7,11.2,3.5,0.076086957,1.8,5.3,3.8,7,4,,
SK,Control,29.7.2025,B,2,Immers 2,36.2,177.5,7.5,11.5,4,0.086956522,1.5,6.4,3.7,4,4,,
SK,Control,29.7.2025,B,3,Immers 2,36.2,177.5,7.5,11.6,4.1,0.089130435,1.5,6.7,3.9,6,4,,
AL,Control,29.7.2025,B,1,Immers 2,36.2,177.5,8.4,9.3,0.9,0.019565217,1.8,6.3,2,8,0,,
AL,Control,29.7.2025,B,2,Immers 2,36.2,177.5,9.4,12.8,3.4,0.073913043,1.7,10.4,4.7,12,2,,
