SITE ID,I or C,Change in tip length (cm),Change in tip length/day (cm),Change in base width (cm),Change in base width/day (cm),Change in tot tip width (cm),Change in tot tip width/day (cm),Change in tip weigth (g),Change in tip weigth/day (g),Change in apical tips count,Change in bladder count
OK,Impact,5.3,0.115217391,0,,3.9,,2.05,0.044565217,4,-1
OK,Impact,3.1,0.067391304,-0.1,,0.5,,1.25,0.027173913,2,0
OK,Impact,2.3,0.05,-0.1,,-1.2,,0.74,0.016086957,1,0
OK,Impact,3.7,0.080434783,0.1,,7.5,,2.48,0.053913043,10,0
OK,Impact,3.5,0.076086957,0,,3.8,,1.41,0.030652174,7,0
OK,Impact,2.9,0.063043478,-0.2,,6.8,,1.4,0.030434783,6,0
OK,Impact,3.7,0.080434783,-0.7,,3.8,,2.22,0.04826087,4,0
OK,Impact,3.2,0.069565217,-0.1,,2.5,,1.82,0.039565217,3,0
OK,Impact,1.5,0.032608696,-0.1,,4.4,,0.93,0.020217391,8,0
OK,Impact,2.4,0.052173913,-0.3,,3.8,,1.5,0.032608696,9,0
OK,Impact,2.1,0.045652174,0.2,,4.3,,1.55,0.033695652,8,0
OK,Impact,0.9,0.019565217,0,,3,,1.36,0.029565217,8,0
OK,Impact,4.1,0.089130435,-0.7,,6.3,,1.75,0.038043478,7,0
OK,Impact,4.6,0.1,0,,4.7,,2.53,0.055,14,-7
OK,Impact,4.9,0.106521739,-0.8,,9.4,,1.78,0.038695652,6,-4
OK,Impact,5.5,0.119565217,0.7,,6.3,,1.72,0.037391304,3,0
OK,Impact,3.7,0.080434783,-0.9,,7.1,,1.91,0.041521739,14,0
OK,Impact,4.3,0.093478261,0.1,,2,,2.17,0.047173913,2,0
OK,Impact,4.7,0.102173913,0.4,,3.2,,1.7,0.036956522,3,0
OK,Impact,4.2,0.091304348,0,,4.8,,2.07,0.045,5,0
OK,Impact,3,0.065217391,0.1,,1.2,,2.39,0.051956522,10,0
OK,Impact,1.9,0.041304348,0.1,,5.9,,3.09,0.067173913,20,0
OK,Impact,4.2,0.091304348,0,,2.2,,1.99,0.04326087,2,0
OK,Impact,3.5,0.076086957,0.1,,5.6,,1.29,0.028043478,10,0
OK,Impact,4.1,0.089130435,0,,3.6,,1.12,0.024347826,8,0
OK,Impact,4.2,0.091304348,0,,1.9,,1.58,0.034347826,13,0
OK,Impact,4.7,0.102173913,0,,1.4,,1.81,0.039347826,7,0
OK,Impact,4.1,0.089130435,0.6,,7.2,,1.51,0.032826087,10,0
OK,Impact,5.5,0.119565217,0,,3.8,,2,0.043478261,21,0
OK,Impact,2,0.043478261,0.2,,-1.5,,-0.2,-0.004347826,-6,1
OK,Impact,2.9,0.063043478,0.2,,4.6,,1.47,0.031956522,13,2
OK,Impact,1.1,0.023913043,0,,3.3,,0.42,0.009130435,10,0
OK,Impact,2.5,0.054347826,0.1,,4.6,,1.79,0.038913043,20,0
OK,Impact,5.3,0.115217391,0.3,,6.5,,2.25,0.048913043,16,0
OK,Impact,5.4,0.117391304,0.2,,5.7,,1.32,0.028695652,5,0
OK,Impact,2.9,0.063043478,0.1,,-0.4,,-0.31,-0.00673913,6,-2
OK,Impact,2.3,0.05,0,,5.5,,1.71,0.037173913,20,0
OK,Impact,2.8,0.060869565,-0.1,,6.3,,2.98,0.064782609,34,0
OK,Impact,4.4,0.095652174,0.1,,6.4,,1.67,0.036304348,10,0
SH,Impact,5.3,0.117777778,0.2,,5,,2.09,0.046444444,3,0
SH,Impact,4.8,0.106666667,0,,4.4,,2.02,0.044888889,2,0
SH,Impact,5.1,0.113333333,0,,3,,1.71,0.038,4,0
SH,Impact,5.4,0.12,-0.1,,4.6,,1.97,0.043777778,9,0
SH,Impact,4.3,0.095555556,0,,3.4,,1.73,0.038444444,4,0
SH,Impact,3.4,0.075555556,0.2,,4,,2.51,0.055777778,15,0
SH,Impact,4,0.088888889,0.1,,5.5,,2.56,0.056888889,8,0
SH,Impact,4.7,0.104444444,0.2,,3.6,,1.88,0.041777778,15,0
SH,Impact,3.8,0.084444444,0.2,,2.2,,1.56,0.034666667,7,0
SH,Impact,2.7,0.06,0.1,,2.6,,2.09,0.046444444,14,0
SH,Impact,4.4,0.097777778,0,,5.5,,2.33,0.051777778,14,0
