Weight (cup),Fucus ID,Weight (F+cup),Tip weight
0.8378,JO1Viruth.2(F),1.8496,1.0118
0.8422,JO1Pilkh.2(H),1.5825,0.7403
0.8421,JO1KKG2(J),1.6481,0.806
0.8403,JO1KGG1(I),1.4624,0.6221
0.8427,JO1Baggen1(K),1.3845,0.5418
0.8415,JO1Baggen2(L),1.6533,0.8118
0.8355,JO1Baggen3(M),1.3583,0.5228
0.8425,JO1VJH1(N),1.1832,0.3407
0.8356,JO1VJH2(O),1.4948,0.6592
0.8350,JO1Pilkh.1(G),1.8251,0.9901
0.8366,JO1VJH3(P),1.4068,0.5702
0.8391,JO1Viruth.1(E),1.4239,0.5848
0.8330,JO1Kukureis2(D),1.7011,0.8681
0.8346,JO1Kukureis1(C),2.5221,1.6875
0.8366,JO1Immers2(B),1.8133,0.9767
0.8462,JO1Immers1(A),2.3057,1.4595
0.8446,JO2VJH3(P),1.7255,0.8809
0.8448,JO2VJH2(O),1.575,0.7302
0.8423,JO2VJH1(N),1.2031,0.3608
0.8430,JO2Baggen3(M),1.7131,0.8701
0.8352,JO2KGG2(J),1.3756,0.5404
0.8357,JO2Baggen1(K),1.406,0.5703
0.8347,JO2Pilkh.2(H),1.6818,0.8471
0.8343,JO2KGG1(I),1.7623,0.928
0.8304,JO2Pilkh.1(G),1.8095,0.9791
0.8360,JO2Viruth.2(F),2.0003,1.1643
0.8334,JO2Viruth.1(E),1.3511,0.5177
0.8333,JO2Immers2(B),1.8149,0.9816
0.8318,JO2Immers1(A),1.6737,0.8419
0.8342,JO3VJH2(O),1.5204,0.6862
0.8326,JO3VJH3(P),1.9261,1.0935
0.8315,JO3VJH1(N),1.1253,0.2938
0.8370,JO3Baggen3(M),1.3651,0.5281
0.8346,JO3KGG2(J),1.3313,0.4967
0.8324,JO3Baggen2(L),1.2691,0.4367
0.8321,JO3Baggen1(K),1.3008,0.4687
0.8319,JO3KGG1(I),1.3211,0.4892
0.8290,JO3Pilkh.2(H),1.6923,0.8633
0.8316,JO3Viruth.2(F),1.4061,0.5745
0.8313,JO3Viruth.1(E),1.4436,0.6123
0.8326,JO3Kukureis2(D),1.6359,0.8033
0.8363,JO3Kukureis1(C),2.1611,1.3248
0.8389,JO3Immers2(B),1.7756,0.9367
0.8386,JO3Immers1(A),1.7016,0.863
0.8381,ÖK1VJH3(P),1.7886,0.9505
0.8377,ÖK1VJH2(O),1.6493,0.8116
0.8378,ÖK1VJH1(N),1.5099,0.6721
0.8374,ÖK1Baggen2(L),1.6876,0.8502
0.8383,ÖK1Baggen3(M),1.2717,0.4334
0.8334,ÖK1Pilkh.1(G),1.9121,1.0787
0.8340,ÖK1Baggen1(K),1.7758,0.9418
0.8357,ÖK1KGG1(I),1.6006,0.7649
0.8341,ÖK1Pilkh.2(H),1.9499,1.1158
0.8346,ÖK1Viruth.1(E),1.4169,0.5823
0.8323,ÖK1Kukureis2(D),1.6908,0.8585
0.8347,ÖK1Immers1(A),1.9877,1.153
0.8382,ÖK1Kukureis1(C),2.1635,1.3253
0.8383,ÖK1Viruth.2(F),1.5598,0.7215
0.8326,ÖK1Immers2(B),1.9035,1.0709
0.8342,ÖK2VJH3(P),2.0195,1.1853
0.8342,ÖK2VJH2(O),1.3664,0.5322
0.8342,ÖK2VJH1(N),1.3008,0.4666
0.8312,ÖK2Baggen3(M),1.2553,0.4241
0.8356,ÖK2Viruth.2(F),1.5278,0.6922
0.8354,ÖK2Pilkh.2(H),2.0731,1.2377
0.8320,ÖK2Pilkh.1(G),1.6367,0.8047
0.8361,ÖK2Viruth.1(E),1.6043,0.7682
0.8345,ÖK2Kukureis2(D),1.5315,0.697
0.8328,ÖK2Immers2(B),1.7577,0.9249
0.8306,ÖK2Immers1(A),1.484,0.6534
0.8412,ÖK2Kukureis1(C),1.9047,1.0635
0.8391,ÖK3VJH3(P),1.5665,0.7274
0.8413,ÖK3VJH2(O),1.1288,0.2875
0.8356,ÖK3VJH1(N),1.6216,0.786
0.8380,ÖK3Kukureis1(C),1.4888,0.6508
0.8335,ÖK3Immers2(B),1.6148,0.7813
0.8348,ÖK3Immers1(A),1.3206,0.4858
0.8305,ÖK3Pilkh.1(G),1.8558,1.0253
0.8351,ÖK3Viruth.1(E),1.4941,0.659
0.8375,ÖK3Pilkh.2(H),1.7433,0.9058
0.8452,ÖK3KGG2(J),1.539,0.6938
0.8437,ÖK3Baggen1(K),1.5023,0.6586
0.8454,ÖK2KGG1(I),1.2737,0.4283
0.8433,ÖK3Kukureis2(D),1.7915,0.9482
0.8418,SH2Viruth.1(E),1.2076,0.3658
0.8410,SH2Pilkh.2(H),1.4651,0.6241
0.8400,SH2Pilkh.1(G),1.8927,1.0527
0.8409,SH1Kukureis1(C),2.2215,1.3806
0.8310,SH1Viruth.1(E),1.3601,0.5291
0.8400,SH1Viruth.2(F),1.6559,0.8159
0.8428,SH2VJH3(P),1.5188,0.676
0.8405,SH2VJH2(O),1.5633,0.7228
0.8394,SH2Baggen2(L),1.6918,0.8524
0.8416,SH2Baggen3(M),1.1884,0.3468
0.8445,SH1Immers2(B),1.7531,0.9086
0.8436,SH3Kukureis1(C),1.9168,1.0732
0.8445,SH3Viruth.1(E),1.874,1.0295
0.8451,SH2Viruth.2(F),1.9719,1.1268
0.8446,SH1KGG2(J),1.6366,0.792
0.8450,SH2VJH1(N),1.4364,0.5914
0.8424,SH3Kukureis2(D),1.9292,1.0868
0.8395,SH2Kukureis1(C),2.4547,1.6152
0.8390,SH1VJH3(P),1.2109,0.3719
0.8400,SH3Immers1(A),1.8454,1.0054
0.8385,SH3Immers2(B),1.6699,0.8314
0.8405,SH1Pilkh.1(G),1.6472,0.8067
0.8432,SH1Pilkh.2(H),2.1911,1.3479
0.8413,SH1Baggen1(K),1.2157,0.3744
0.8386,SH1VJH2(O),1.4505,0.6119
0.8377,SH1KGG1(I),1.4398,0.6021
0.8345,SH1VJH1(N),1.5603,0.7258
0.8399,SH3Baggen3(M),1.4908,0.6509
0.8415,SH3KGG2(J),1.9257,1.0842
0.8423,SH3Baggen2(L),1.5119,0.6696
0.8358,SH3KGG1(I),1.5756,0.7398
0.8345,SH3Pilkh.2(H),1.6756,0.8411
0.8462,SH3Viruth.2(F),1.5819,0.7357
0.8372,SH3VJH2(O),1.4246,0.5874
0.8338,SH3VJH1(N),1.2912,0.4574
0.8365,SH2Immers2(B),1.7839,0.9474
0.8447,SH2Baggen1(K),1.3773,0.5326
0.8463,SH2KGG1(I),1.7227,0.8764
0.843,SH1Kukureis2(D),1.6982,0.8552
0.8418,SH2KGG2(J),1.6177,0.7759
0.844,SH2Kukureis2(D),2.0114,1.1674
0.842,SH2Immers1(A),1.9528,1.1108
0.8444,SK2VJH2(O),1.7811,0.9367
0.8428,SK2VJH3(P),1.7558,0.913
0.8408,SK2Baggen2(L),1.5459,0.7051
0.8402,SK2KGG1(I),1.7863,0.9461
0.8429,SK2Immers2(B),1.584,0.7411
0.8454,SK2KGG2(J),1.4682,0.6228
0.8434,SK2Pilkh.2(H),2.0896,1.2462
0.8415,SK2Viruth.2(F),1.5228,0.6813
0.839,SK2Pilkh.1(G),1.441,0.602
0.8388,SK2Viruth.1(E),1.8511,1.0123
0.842,SK2Kukureis2(D),1.8562,1.0142
0.84,SK2Kukureis1(C),2.063,1.223
0.8371,SK3VJH2(O),1.691,0.8539
0.839,SK2Immers1(A),2.2457,1.4067
0.8345,SK3VJH3(P),1.5834,0.7489
0.8345,SK3VJH1(N),1.5231,0.6886
0.8396,SK3Baggen3(M),1.1909,0.3513
0.8376,SK3Baggen2(L),1.4257,0.5881
0.8352,SK3KGG2(J),1.449,0.6138
0.8363,SK3KGG1(I),1.7383,0.902
0.8449,SK3Pilkh.2(H),1.9045,1.0596
0.8388,SK3Pilkh.1(G),1.6313,0.7925
0.841,SK3Viruth.2(F),2.262,1.421
0.8387,SK3Viruth.1(E),1.5361,0.6974
0.8317,SK3Kukureis2(D),1.7121,0.8804
0.8409,SK3Kukureis1(C),1.7351,0.8942
0.8373,SK3Immers2(B),1.7141,0.8768
0.8341,SK3Immers1(A),2.1414,1.3073
0.8345,SK1Pilkh.2(H),1.4569,0.6224
0.8326,SK1Viruth.2(F),1.8969,1.0643
0.8327,SK1Viruth.1(E),1.3194,0.4867
0.8322,SK1Kukureis2(D),1.8827,1.0505
0.8348,SK1Kukureis1(C),2.5172,1.6824
0.836,SK1Immers2(B),1.6455,0.8095
0.8437,SK1Immers1(A),1.8429,0.9992
0.8373,SK1VJH3(P),1.5489,0.7116
0.8374,SK1VJH2(O),1.8817,1.0443
0.837,SK1VJH1(N),1.3594,0.5224
0.8398,SK1Baggen3(M),1.5689,0.7291
0.8375,SK1Baggen2(L),1.3019,0.4644
0.8408,SK1Baggen1(K),1.3193,0.4785
0.8388,SK1KGG2(J),1.465,0.6262
0.8423,SK1KGG1(I),1.4733,0.631
0.8413,SK1Pilkh.1(G),1.5623,0.721
0.8371,KK1Kukureis2(D),2.3127,1.4756
0.8382,KK1Kukuris1(C),1.7439,0.9057
0.8359,KK1Immers2(B),1.9245,1.0886
0.8379,KK1Immers1(A),2.3386,1.5007
0.8382,KK1VJH3(P),1.7768,0.9386
0.8395,KK1KGG2(J),1.367,0.5275
0.8385,KK1KGG1(I),1.836,0.9975
0.8396,KK1Pilkh.2(H),1.9251,1.0855
0.8427,KK1Pilkh.1(G),1.7023,0.8596
0.8374,KK1Viruth.2(F),1.4913,0.6539
0.8338,KK1Viruth.1(E),1.4724,0.6386
0.8341,KK1VJH2(O),1.5251,0.691
0.8323,KK1VJH1(N),1.339,0.5067
0.8395,KK1Baggen1(K),1.2626,0.4231
0.8359,KK1Baggen2(L),1.4599,0.624
0.8391,KK2Viruth.1(E),1.4274,0.5883
0.8397,KK2Kukureis2(D),1.8178,0.9781
0.8378,KK2Immers2(B),1.3829,0.5451
0.8373,KK2Kukureis1(C),1.8714,1.0341
0.8403,KK2Immers1(A),1.6674,0.8271
0.8241,KK2KGG1(I),1.6346,0.8105
0.8382,KK2Pilkh.2(H),1.6287,0.7905
0.8236,KK2Pilkh.1(G),1.6976,0.874
0.8212,KK2Viurth.2(F),2.4342,1.613
0.8231,KK2KGG2(J),1.3677,0.5446
0.834,KK2Baggen2(L),1.2369,0.4029
0.8337,KK2Baggen3(M),1.4155,0.5818
0.8361,KK2VJH1(N),1.2405,0.4044
0.837,KK2VJH2(O),1.3413,0.5043
0.8358,KK2VJH3(P),1.2673,0.4315
0.8426,VL3VJH3(P),1.5776,0.735
0.8406,VL3VJH2(O),1.3197,0.4791
0.8405,VL3VJH1(N),1.4106,0.5701
0.8391,VL3Baggen3(M),1.361,0.5219
0.8378,VL3Baggen2(L),1.2883,0.4505
0.8351,VL3Baggen1(K),1.3784,0.5433
0.8445,VL3KGG2(J),1.9215,1.077
0.8417,VL3KGG1(I),1.6719,0.8302
0.8421,VL3Pilkh.2(H),2.2989,1.4568
0.8429,VL3Pilkh.1(G),1.6526,0.8097
0.8446,VL3Viruth.2(F),2.0009,1.1563
0.8422,VL3Viruth.1(E),1.682,0.8398
0.8451,VL3Kukureis2(D),1.823,0.9779
0.8353,VL3Kukureis1(C),1.8751,1.0398
0.8268,VL3Immers2(B),2.1354,1.3086
0.8343,VL3Immers1(A),1.7139,0.8796
0.8327,VL1VJH3(P),1.5294,0.6967
0.831,VL1VJH2(O),1.5217,0.6907
0.8387,VL1VJH1(N),1.2434,0.4047
0.8353,VL1Baggen3(M),1.2703,0.435
0.8363,VL1Baggen2(L),1.7136,0.8773
0.831,VL1Baggen1(K),1.369,0.538
0.8331,VL1Pilkh.2(H),1.7185,0.8854
0.8347,VL1KGG1(I),1.4085,0.5738
0.8348,VL1KGG2(J),1.6839,0.8491
0.8372,VL2Immers1(A),2.0422,1.205
0.8378,VL1Viruth.2(F),1.8775,1.0397
0.8392,VL1Pilkh.1(G),1.6879,0.8487
0.839,VL1Immers1(A),2.2604,1.4214
0.8349,VL2Kukureis1(C),2.0027,1.1678
0.8348,VL1Kukureis1(C),1.5429,0.7081
0.8308,VL1Viruth.1(E),1.5067,0.6759
0.829,VL2Immers2(B),1.8251,0.9961
0.836,VL2Kukureis2(D),1.7976,0.9616
0.8492,VL2Viruth.1(E),1.6995,0.8503
0.8508,VL2Viruth.2(F),1.5826,0.7318
0.8494,VL2Pilkh.1(G),1.7653,0.9159
0.8316,VL2Pilkh.2(H),1.3519,0.5203
0.8511,VL2KGG1(I),1.6034,0.7523
0.8489,VL2KGG2(J),1.5697,0.7208
0.8322,VL2Baggen1(K),1.4525,0.6203
0.8327,VL2Baggen2(L),1.3592,0.5265
0.8343,VL2Baggen3(M),1.4165,0.5822
0.8383,VL2VJH1(N),1.3975,0.5592
0.837,VL2VJH2(O),1.3363,0.4993
0.8353,VL2VJH3(P),1.7307,0.8954
0.8397,VL1Immers2(B),1.7136,0.8739
0.8392,VL1Kukureis2(D),1.498,0.6588
0.8374,FL3Pilkh.1(G),1.5891,0.7517
0.837,FL3VJH1(N),1.448,0.611
0.8314,FL3Baggen1(K),1.4902,0.6588
0.8365,FL3KGG2(J),1.455,0.6185
0.8364,FL3KGG1(I),1.8169,0.9805
0.8337,FL3Pilkh.2(H),1.7753,0.9416
0.8391,FL3Viruth.1(E),1.8534,1.0143
0.8329,FL3Kukureis1(C),1.689,0.8561
0.8315,FL3Immers2(B),1.7812,0.9497
0.8359,FL3Kukureis2(D),1.9215,1.0856
0.8409,FL3Immers1(A),2.109,1.2681
0.8362,FL3Viruth.2(F),2.5298,1.6936
0.8387,FL3Baggen2(L),1.7322,0.8935
0.8337,FL3VJH3(P),1.7133,0.8796
0.8355,FL3VJH2(O),1.4812,0.6457
0.8361,FL2VJH1(N),1.1996,0.3635
0.8375,FL1Viruth.1(E),1.3746,0.5371
0.8344,FL1Kukureis2(D),1.8731,1.0387
0.832,FL1Kukureis1(C),1.8442,1.0122
0.83,FL1Immers2(B),1.8876,1.0576
0.8282,FL1Immers1(A),1.8443,1.0161
0.84,FL1VJH1(N),1.3982,0.5582
0.8337,FL1VJH3(P),2.2358,1.4021
0.8344,FL1VJH2(O),1.7083,0.8739
0.8388,FL1Baggen3(M),1.3107,0.4719
0.8399,FL1Baggen2(L),1.905,1.0651
0.8395,FL1KGG2(J),1.9889,1.1494
0.841,FL1Pilkh.2(H),2.0963,1.2553
0.8318,FL1Viruth.2(F),1.8097,0.9779
0.8425,FL2Baggen3(M),1.511,0.6685
0.8305,FL2Baggen2(L),1.4813,0.6508
0.8386,FL2Baggen1(K),1.3554,0.5168
0.8418,FL2Immers2(B),1.7673,0.9255
0.8388,FL2Immers1(A),1.6324,0.7936
0.84,Fl2Kukureis1(C),2.2044,1.3644
0.8353,FL2Viruth.2(F),1.5974,0.7621
0.8388,FL2Kukureis2(D),1.6172,0.7784
0.8351,FL2KGG1(I),1.6624,0.8273
0.8422,FL2KGG2(J),1.1937,0.3515
0.8378,FL2Viruth.1(E),2.221,1.3832
0.8367,FL2Pilkh.2(H),1.9031,1.0664
0.8389,FL2Pilkh.1(G),1.4211,0.5822
0.8379,ÅL3VJH3(P),1.4451,0.6072
0.8365,ÅL3VJH2(O),1.3998,0.5633
0.8364,ÅL3VJH1(N),1.3418,0.5054
0.8273,ÅL3Baggen3(M),1.3621,0.5348
0.827,ÅL3Baggen2(L),1.2482,0.4212
0.8318,ÅL3Baggen1(K),1.3981,0.5663
0.8297,ÅL3KGG2(J),1.5511,0.7214
0.8248,ÅL3KGG1(I),1.5766,0.7518
0.8267,ÅL3Pilkh.2(H),1.6544,0.8277
0.8297,ÅL3Pilkh.1(G),1.4802,0.6505
0.8344,ÅL3Viruth.2(F),1.5366,0.7022
0.8461,ÅL3Kukureis2(D),1.5201,0.674
0.8387,ÅL3Viruth.1(E),1.4109,0.5722
0.8319,Ål3Kukureis1(C),1.703,0.8711
0.8366,ÅL3Immers2(B),1.4306,0.594
0.8371,ÅL1Viruth.1(E),1.5943,0.7572
0.8365,ÅL1Immers1(A),1.6233,0.7868
0.8301,ÅL3Immers1(A),2.3627,1.5326
0.8326,ÅL1Kukureis2(D),1.6386,0.806
0.8321,ÅL1Immers2(B),1.2107,0.3786
0.8341,ÅL1Pilkh.2(H),2.1848,1.3507
0.8335,ÅL1Kukureis1(C),1.692,0.8585
0.8337,ÅL1Viruth.2(F),2.1975,1.3638
0.829,ÅL1KGG2(J),1.541,0.712
0.8271,ÅL1Pilkh.1(G),1.623,0.7959
0.8291,ÅL1Baggen2(L),1.3498,0.5207
0.8296,ÅL1Baggen1(K),1.4228,0.5932
0.8316,ÅL1Baggen3(M),1.5213,0.6897
0.8323,ÅL1VJH1(N),1.3665,0.5342
0.8343,ÅL1VJH2(O),1.2455,0.4112
0.8416,ÅL1VJH3(P),1.636,0.7944
0.8403,ÅL2Immers2(B),1.8587,1.0184
0.8309,ÅL2Kukureis1(C),2.0626,1.2317
0.8331,ÅL2Pilkh.2(H),2.0314,1.1983
0.8342,ÅL2Kukuries2(D),1.7223,0.8881
0.838,ÅL2Viruth.1(E),1.3075,0.4695
0.8377,ÅL2KGG1(I),1.336,0.4983
0.8419,ÅL2KGG2(J),1.7794,0.9375
0.8439,ÅL2Baggen2(L),1.3653,0.5214
0.839,ÅL2Baggen1(K),1.4665,0.6275
0.8407,ÅL2Baggen3(M),1.2967,0.456
0.8341,ÅL2VJH3(P),1.5333,0.6992
0.8325,ÅL2VJH2(O),1.36,0.5275
0.8339,ÅL2VJH1(N),1.5887,0.7548
0.8305,ÅL2Viruth.2(F),2.0423,1.2118
0.8421,ÅL2Immers1(A),1.7159,0.8738
0.8378,ÅL2Pilkh.1(G),1.8104,0.9726
